Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Exact_Switch_Time
26.0,30,71.64253767778831,True,26.0,28.0,5.0,2.334824643271693,2024-09-11 23:38:33.135640,2024-09-09 02:20:05.368716
26.0,30,71.68674377296517,True,26.0,28.0,6.0,2.913535517362787,2024-09-11 23:41:12.277583,2024-09-09 02:54:48.727863
26.0,30,71.7207512622414,True,26.0,28.0,7.0,3.531403026684842,2024-09-11 23:43:14.704544,2024-09-09 03:31:53.050896
26.0,30,71.49627370536491,True,26.0,28.0,8.0,4.033355009512004,2024-09-11 23:29:46.585339,2024-09-09 04:02:00.078034
26.0,30,71.77611306268005,True,26.0,28.0,9.0,5.2966773917274015,2024-09-11 23:46:34.007026,2024-09-09 05:17:48.038610
26.0,30,71.67089214464976,True,26.0,28.0,10.0,6.46078536648626,2024-09-11 23:40:15.211721,2024-09-09 06:27:38.827319
26.0,30,71.90253638444615,True,26.0,28.0,11.0,8.286593109090555,2024-09-11 23:54:09.130984,2024-09-09 08:17:11.735193
26.0,30,71.9550998583857,True,26.0,28.0,12.0,10.25960597437187,2024-09-11 23:57:18.359490,2024-09-09 10:15:34.581508
26.0,30,72.65115834747773,True,26.0,28.0,13.0,13.10577846334624,2024-09-12 00:39:04.170051,2024-09-09 13:06:20.802468
26.0,30,72.23315327666423,True,26.0,28.0,14.0,14.948304910896873,2024-09-12 00:13:59.351796,2024-09-09 14:56:53.897679
26.0,30,72.2775427283728,True,26.0,28.0,15.0,17.507005440871744,2024-09-12 00:16:39.153822,2024-09-09 17:30:25.219587
26.0,30,72.8118228507368,True,26.0,28.0,16.0,20.863920810085162,2024-09-12 00:48:42.562263,2024-09-09 20:51:50.114916
26.0,30,74.52259065181157,True,26.0,28.0,17.0,25.265772136385984,2024-09-12 02:31:21.326347,2024-09-10 01:15:56.779691
26.0,30,73.09078574119496,True,26.0,28.0,18.0,25.959047947073508,2024-09-12 01:05:26.828668,2024-09-10 01:57:32.572609
26.0,30,72.3036039857716,True,26.0,28.0,19.0,27.25203623254268,2024-09-12 00:18:12.974349,2024-09-10 03:15:07.330437
26.0,30,74.34489663391905,True,26.0,28.0,20.0,31.809911477545228,2024-09-12 02:20:41.627882,2024-09-10 07:48:35.681319
26.0,30,73.59284072888707,True,26.0,28.0,21.0,33.74777593969114,2024-09-12 01:35:34.226624,2024-09-10 09:44:51.993383
26.0,30,75.159519124038,True,26.0,28.0,22.0,38.144145542937295,2024-09-12 03:09:34.268847,2024-09-10 14:08:38.923955
26.0,30,75.26595325449915,True,26.0,28.0,23.0,41.092351635372474,2024-09-12 03:15:57.431716,2024-09-10 17:05:32.465887
26.0,30,74.7312457422964,True,26.0,28.0,24.0,43.66750325308561,2024-09-12 02:43:52.484672,2024-09-10 19:40:03.011711
26.0,30,77.75959934060944,True,26.0,28.0,25.0,50.31231999640315,2024-09-12 05:45:34.557626,2024-09-11 02:18:44.351987
26.0,30,77.62536491793915,True,26.0,28.0,26.0,53.89855757417472,2024-09-12 05:37:31.313705,2024-09-11 05:53:54.807267
26.0,30,77.70483383139947,True,26.0,28.0,27.0,58.10967043966076,2024-09-12 05:42:17.401793,2024-09-11 10:06:34.813583
26.0,30,77.76061917487553,True,26.0,28.0,28.0,63.54809980294489,2024-09-12 05:45:38.229030,2024-09-11 15:32:53.159291
26.0,30,82.12062998661676,True,26.0,28.0,29.0,74.65792373121776,2024-09-12 10:07:14.267952,2024-09-12 02:39:28.525432
26.0,40,192.68345064690035,True,26.0,28.0,0.0,0.0,2024-09-17 00:41:00.422329,2024-09-09 00:00:00.000000
26.0,40,192.73947194737016,True,26.0,28.0,1.0,0.13358358006353344,2024-09-17 00:44:22.099011,2024-09-09 00:08:00.900888
26.0,40,192.82907612797618,True,26.0,28.0,2.0,0.5122271164408427,2024-09-17 00:49:44.674061,2024-09-09 00:30:44.017619
26.0,40,192.96402161249483,True,26.0,28.0,3.0,1.0811024876160957,2024-09-17 00:57:50.477805,2024-09-09 01:04:51.968955
26.0,40,193.13901350588299,True,26.0,28.0,4.0,1.7622785016273714,2024-09-17 01:08:20.448621,2024-09-09 01:45:44.202606
26.0,40,193.19043005841928,True,26.0,28.0,5.0,2.334824643271693,2024-09-17 01:11:25.548210,2024-09-09 02:20:05.368716
26.0,40,193.2346361535961,True,26.0,28.0,6.0,2.913535517362787,2024-09-17 01:14:04.690153,2024-09-09 02:54:48.727863
26.0,40,193.26864364287235,True,26.0,28.0,7.0,3.531403026684842,2024-09-17 01:16:07.117114,2024-09-09 03:31:53.050896
26.0,40,193.04416608599587,True,26.0,28.0,8.0,4.033355009512004,2024-09-17 01:02:38.997910,2024-09-09 04:02:00.078034
26.0,40,193.32400544331102,True,26.0,28.0,9.0,5.2966773917274015,2024-09-17 01:19:26.419596,2024-09-09 05:17:48.038610
26.0,40,193.2187845252807,True,26.0,28.0,10.0,6.46078536648626,2024-09-17 01:13:07.624291,2024-09-09 06:27:38.827319
26.0,40,193.45042876507708,True,26.0,28.0,11.0,8.286593109090555,2024-09-17 01:27:01.543554,2024-09-09 08:17:11.735193
26.0,40,193.50299223901666,True,26.0,28.0,12.0,10.25960597437187,2024-09-17 01:30:10.772060,2024-09-09 10:15:34.581508
