Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,Exact_Time,Start_Time,Exact_Switch_Time,weekday_exact,time_exact,weekday_switch,time_switch
28.0,10,6.100069927390745,True,28.0,26.0,8.0,3.6726395704164894,2024-09-16 15:06:00.251739,2024-09-16 09:00:00,2024-09-16 12:40:21.502453,0,15:06:00.251739,0.0,12:40:21.502453
28.0,10,6.180214400891803,True,28.0,26.0,3.0,0.8005315220216386,2024-09-16 15:10:48.771843,2024-09-16 09:00:00,2024-09-16 09:48:01.913479,0,15:10:48.771843,0.0,09:48:01.913479
26.0,10,6.2060224537003625,True,26.0,28.0,3.0,1.0811024876160957,2024-09-16 15:12:21.680833,2024-09-16 09:00:00,2024-09-16 10:04:51.968955,0,15:12:21.680833,0.0,10:04:51.968955
26.0,10,6.28616692720142,True,26.0,28.0,8.0,4.033355009512004,2024-09-16 15:17:10.200938,2024-09-16 09:00:00,2024-09-16 13:02:00.078034,0,15:17:10.200938,0.0,13:02:00.078034
28.0,10,6.3151598854104325,True,28.0,26.0,2.0,0.3666016353650159,2024-09-16 15:18:54.575587,2024-09-16 09:00:00,2024-09-16 09:21:59.765887,0,15:18:54.575587,0.0,09:21:59.765887
26.0,10,6.381014347088525,True,26.0,28.0,4.0,1.7622785016273714,2024-09-16 15:22:51.651650,2024-09-16 09:00:00,2024-09-16 10:45:44.202606,0,15:22:51.651650,0.0,10:45:44.202606
28.0,10,6.404764066016457,True,28.0,26.0,1.0,0.07756227959373074,2024-09-16 15:24:17.150638,2024-09-16 09:00:00,2024-09-16 09:04:39.224207,0,15:24:17.150638,0.0,09:04:39.224207
26.0,10,6.432430899624829,True,26.0,28.0,5.0,2.334824643271693,2024-09-16 15:25:56.751239,2024-09-16 09:00:00,2024-09-16 11:20:05.368716,0,15:25:56.751239,0.0,11:20:05.368716
26.0,10,6.46078536648626,False,,,,,2024-09-16 15:27:38.827319,2024-09-16 09:00:00,,0,15:27:38.827319,,
28.0,10,6.46078536648626,True,28.0,26.0,0.0,0.0,2024-09-16 15:27:38.827319,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,15:27:38.827319,0.0,09:00:00
26.0,10,6.476636994801677,True,26.0,28.0,6.0,2.913535517362787,2024-09-16 15:28:35.893181,2024-09-16 09:00:00,2024-09-16 11:54:48.727863,0,15:28:35.893181,0.0,11:54:48.727863
26.0,10,6.510644484077896,True,26.0,28.0,7.0,3.531403026684842,2024-09-16 15:30:38.320143,2024-09-16 09:00:00,2024-09-16 12:31:53.050896,0,15:30:38.320143,0.0,12:31:53.050896
26.0,10,6.5660062845165665,True,26.0,28.0,9.0,5.2966773917274015,2024-09-16 15:33:57.622624,2024-09-16 09:00:00,2024-09-16 14:17:48.038610,0,15:33:57.622624,0.0,14:17:48.038610
20.0,10,7.684565314636188,False,,,,,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,,0,16:41:04.435133,,
18.0,10,7.684565314636188,True,18.0,20.0,0.0,0.0,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,16:41:04.435133,0.0,09:00:00
18.0,10,7.684565314636188,True,18.0,20.0,1.0,0.0,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,16:41:04.435133,0.0,09:00:00
18.0,10,7.684565314636188,True,18.0,20.0,2.0,0.0,2024-09-16 16:41:04.435133,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,16:41:04.435133,0.0,09:00:00
20.0,10,7.857044277504913,True,20.0,18.0,9.0,5.885501752804958,2024-09-16 16:51:25.359399,2024-09-16 09:00:00,2024-09-16 14:53:07.806310,0,16:51:25.359399,0.0,14:53:07.806310
18.0,10,7.972696383877025,True,18.0,20.0,3.0,0.288131069240837,2024-09-16 16:58:21.706982,2024-09-16 09:00:00,2024-09-16 09:17:17.271849,0,16:58:21.706982,0.0,09:17:17.271849
20.0,10,8.043508609054522,True,20.0,18.0,8.0,4.296060607965172,2024-09-16 17:02:36.630993,2024-09-16 09:00:00,2024-09-16 13:17:45.818189,0,17:02:36.630993,0.0,13:17:45.818189
20.0,10,8.239995696262394,True,20.0,18.0,7.0,2.9109706553411456,2024-09-16 17:14:23.984507,2024-09-16 09:00:00,2024-09-16 11:54:39.494359,0,17:14:23.984507,0.0,11:54:39.494359
20.0,10,8.441654164538953,True,20.0,18.0,6.0,1.7264307692683545,2024-09-16 17:26:29.954992,2024-09-16 09:00:00,2024-09-16 10:43:35.150769,0,17:26:29.954992,0.0,10:43:35.150769
20.0,10,8.647022143667009,True,20.0,18.0,5.0,0.7467104339359967,2024-09-16 17:38:49.279717,2024-09-16 09:00:00,2024-09-16 09:44:48.157562,0,17:38:49.279717,0.0,09:44:48.157562
18.0,10,8.709093749887955,True,18.0,20.0,4.0,1.0245284352517672,2024-09-16 17:42:32.737500,2024-09-16 09:00:00,2024-09-16 10:01:28.302367,0,17:42:32.737500,0.0,10:01:28.302367
20.0,10,8.871638039245695,True,20.0,18.0,4.0,0.0,2024-09-16 17:52:17.896941,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,17:52:17.896941,0.0,09:00:00
18.0,10,8.933709645466642,True,18.0,20.0,5.0,1.9958547647664506,2024-09-16 17:56:01.354724,2024-09-16 09:00:00,2024-09-16 10:59:45.077153,0,17:56:01.354724,0.0,10:59:45.077153
18.0,10,9.139077624594698,True,18.0,20.0,6.0,3.1809430792268643,2024-09-16 18:08:20.679449,2024-09-16 09:00:00,2024-09-16 12:10:51.395085,0,18:08:20.679449,0.0,12:10:51.395085
18.0,10,9.340736092871257,True,18.0,20.0,7.0,4.567141433576214,2024-09-16 18:20:26.649934,2024-09-16 09:00:00,2024-09-16 13:34:01.709161,0,18:20:26.649934,0.0,13:34:01.709161
18.0,10,9.53722318007913,True,18.0,20.0,8.0,6.148718473408113,2024-09-16 18:32:14.003448,2024-09-16 09:00:00,2024-09-16 15:08:55.386504,0,18:32:14.003448,0.0,15:08:55.386504
20.0,10,9.608035405256626,True,20.0,18.0,3.0,0.0,2024-09-16 18:36:28.927459,2024-09-16 09:00:00,2024-09-16 09:00:00.000000,0,18:36:28.927459,0.0,09:00:00
