Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,End_Time,Start_Time,Exact_Switch_Time
26.0,20,30.566639369613767,True,26.0,28.0,18.0,25.959230027510785,2024-11-29 15:30:00,2024-11-28 08:56:00.098269,2024-11-29 10:53:33.326368
26.0,20,29.774991775475428,True,26.0,28.0,19.0,27.25217860835255,2024-11-29 15:30:00,2024-11-28 09:43:30.029608,2024-11-29 12:58:37.872598
26.0,30,71.16025923449564,True,26.0,28.0,0.0,0.0068117666960461065,2024-11-29 15:30:00,2024-11-26 16:20:23.066756,2024-11-26 16:20:47.589116
26.0,30,71.1093845735108,True,26.0,28.0,1.0,0.13796123473730404,2024-11-29 15:30:00,2024-11-26 16:23:26.215535,2024-11-26 16:31:42.875980
26.0,30,71.10814440338658,True,26.0,28.0,2.0,0.5032644079765305,2024-11-29 15:30:00,2024-11-26 16:23:30.680148,2024-11-26 16:53:42.432017
26.0,30,71.21747746921977,True,26.0,28.0,3.0,1.0836098595173098,2024-11-29 15:30:00,2024-11-26 16:16:57.081111,2024-11-26 17:21:58.076605
26.0,30,71.38386822683464,True,26.0,28.0,4.0,1.762244925594132,2024-11-29 15:30:00,2024-11-26 16:06:58.074383,2024-11-26 17:52:42.156115
26.0,30,71.4496665528008,True,26.0,28.0,5.0,2.3353185998130357,2024-11-29 15:30:00,2024-11-26 16:03:01.200410,2024-11-26 18:23:08.347369
26.0,30,71.51762177625864,True,26.0,28.0,6.0,2.913619461993221,2024-11-29 15:30:00,2024-11-26 15:58:56.561605,2024-11-26 18:53:45.591668
26.0,30,71.57975876669155,True,26.0,28.0,7.0,3.5314823181761312,2024-11-29 15:30:00,2024-11-26 15:55:12.868440,2024-11-26 19:27:06.204785
26.0,30,71.38340899466351,True,26.0,28.0,8.0,4.0333588423454785,2024-11-29 15:30:00,2024-11-26 16:06:59.727619,2024-11-26 20:08:59.819451
26.0,30,71.68932446114417,True,26.0,28.0,9.0,5.296668615119415,2024-11-29 15:30:00,2024-11-26 15:48:38.431940,2024-11-26 21:06:26.438954
