Temperature,Stage,Development_Time,Switch,Temp1,Temp2,Switch_Stage,Switch_Times,End_Time,Start_Time,Exact_Switch_Time,weekday_exact,time_exact,weekday_switch,time_switch
26.0,20,28.907041670097897,True,26.0,28.0,5.0,2.3353185998130357,2024-11-29 15:30:00,2024-11-28 10:35:34.649988,2024-11-28 12:55:41.796947,3,10:35:34.649988,3.0,12:55:41.796947
26.0,20,28.974996893555726,True,26.0,28.0,6.0,2.913619461993221,2024-11-29 15:30:00,2024-11-28 10:31:30.011183,2024-11-28 13:26:19.041246,3,10:31:30.011183,3.0,13:26:19.041246
26.0,20,29.037133883988645,True,26.0,28.0,7.0,3.5314823181761312,2024-11-29 15:30:00,2024-11-28 10:27:46.318018,2024-11-28 13:59:39.654363,3,10:27:46.318018,3.0,13:59:39.654363
26.0,20,29.146699578441257,True,26.0,28.0,9.0,5.296668615119415,2024-11-29 15:30:00,2024-11-28 10:21:11.881518,2024-11-28 15:38:59.888532,3,10:21:11.881518,3.0,15:38:59.888532
26.0,20,29.774991775475428,True,26.0,28.0,19.0,27.25217860835255,2024-11-29 15:30:00,2024-11-28 09:43:30.029608,2024-11-29 12:58:37.872598,3,09:43:30.029608,4.0,12:58:37.872598
28.0,20,29.854190408803333,True,28.0,26.0,18.0,24.0034132429937,2024-11-29 15:30:00,2024-11-28 09:38:44.914528,2024-11-29 09:38:57.202203,3,09:38:44.914528,4.0,09:38:57.202203
26.0,30,72.82160320308543,True,26.0,28.0,16.0,20.863978284731274,2024-11-29 15:30:00,2024-11-26 14:40:42.228469,2024-11-27 11:32:32.550294,1,14:40:42.228469,2.0,11:32:32.550294
26.0,30,74.53807194634868,True,26.0,28.0,17.0,25.26589368970963,2024-11-29 15:30:00,2024-11-26 12:57:42.940993,2024-11-27 14:13:40.158276,1,12:57:42.940993,2.0,14:13:40.158276
28.0,30,74.69606658227946,True,28.0,26.0,26.0,47.43429591193444,2024-11-29 15:30:00,2024-11-26 12:48:14.160304,2024-11-28 12:14:17.625587,1,12:48:14.160304,3.0,12:14:17.625587
26.0,30,77.61774701894996,True,26.0,28.0,26.0,53.8985954630848,2024-11-29 15:30:00,2024-11-26 09:52:56.110732,2024-11-28 15:46:51.054399,1,09:52:56.110732,3.0,15:46:51.054399
26.0,30,77.75149392949373,True,26.0,28.0,25.0,50.31235930696221,2024-11-29 15:30:00,2024-11-26 09:44:54.621854,2024-11-28 12:03:39.115359,1,09:44:54.621854,3.0,12:03:39.115359
28.0,30,77.96118152520609,True,28.0,26.0,20.0,28.610822585096685,2024-11-29 15:30:00,2024-11-26 09:32:19.746509,2024-11-27 14:08:58.707815,1,09:32:19.746509,2.0,14:08:58.707815
28.0,40,191.7799250345056,True,28.0,26.0,39.0,167.5430005078183,2024-11-29 15:30:00,2024-11-21 15:43:12.269876,2024-11-28 15:15:47.071704,3,15:43:12.269876,3.0,15:15:47.071704
26.0,40,192.64185867120705,True,26.0,28.0,2.0,0.5032644079765305,2024-11-29 15:30:00,2024-11-21 14:51:29.308784,2024-11-21 15:21:41.060653,3,14:51:29.308784,3.0,15:21:41.060653
26.0,40,192.64309884133127,True,26.0,28.0,1.0,0.13796123473730404,2024-11-29 15:30:00,2024-11-21 14:51:24.844171,2024-11-21 14:59:41.504616,3,14:51:24.844171,3.0,14:59:41.504616
28.0,40,192.68716173562007,False,,,,,2024-11-29 15:30:00,2024-11-21 14:48:46.217752,,3,14:48:46.217752,,
26.0,40,192.6939735023161,True,26.0,28.0,0.0,0.0068117666960461065,2024-11-29 15:30:00,2024-11-21 14:48:21.695392,2024-11-21 14:48:46.217752,3,14:48:21.695392,3.0,14:48:46.217752
26.0,40,192.75119173704024,True,26.0,28.0,3.0,1.0836098595173098,2024-11-29 15:30:00,2024-11-21 14:44:55.709747,2024-11-21 15:49:56.705241,3,14:44:55.709747,3.0,15:49:56.705241
26.0,40,194.3553174709059,True,26.0,28.0,16.0,20.863978284731274,2024-11-29 15:30:00,2024-11-21 13:08:40.857105,2024-11-22 10:00:31.178930,3,13:08:40.857105,4.0,10:00:31.178930
26.0,40,194.64297852013715,True,26.0,28.0,18.0,25.959230027510785,2024-11-29 15:30:00,2024-11-21 12:51:25.277328,2024-11-22 14:48:58.505427,3,12:51:25.277328,4.0,14:48:58.505427
26.0,40,196.07178621416915,True,26.0,28.0,17.0,25.26589368970963,2024-11-29 15:30:00,2024-11-21 11:25:41.569629,2024-11-22 12:41:38.786912,3,11:25:41.569629,4.0,12:41:38.786912
28.0,40,197.9450018590078,True,28.0,26.0,38.0,149.50106804559346,2024-11-29 15:30:00,2024-11-21 09:33:17.993308,2024-11-27 15:03:21.838272,3,09:33:17.993308,2.0,15:03:21.838272
28.0,40,218.9133061883481,True,28.0,26.0,36.0,120.68635559581753,2024-11-29 15:30:00,2024-11-20 12:35:12.097722,2024-11-25 13:16:22.977867,2,12:35:12.097722,0.0,13:16:22.977867
28.0,40,240.32866442142495,True,28.0,26.0,0.0,0.0,2024-11-29 15:30:00,2024-11-19 15:10:16.808083,2024-11-19 15:10:16.808083,1,15:10:16.808083,1.0,15:10:16.808083
26.0,40,240.335476188121,False,,,,,2024-11-29 15:30:00,2024-11-19 15:09:52.285723,,1,15:09:52.285723,,
28.0,40,240.3795390824098,True,28.0,26.0,1.0,0.18202412902610376,2024-11-29 15:30:00,2024-11-19 15:07:13.659303,2024-11-19 15:18:08.946167,1,15:07:13.659303,1.0,15:18:08.946167
28.0,40,240.380779252534,True,28.0,26.0,2.0,0.54856747238955,2024-11-29 15:30:00,2024-11-19 15:07:09.194691,2024-11-19 15:40:04.037592,1,15:07:09.194691,1.0,15:40:04.037592
26.0,40,241.24271288923546,True,26.0,28.0,39.0,216.0985516614337,2024-11-29 15:30:00,2024-11-19 14:15:26.233599,2024-11-28 14:21:21.019580,1,14:15:26.233599,3.0,14:21:21.019580
